Name,Mass,ModSites,ModChar,Type,Trigger,Target
TMT0,224.15248,K;NPep,,Static,True,False,
SH-TMT,235.17677,K;NPep,,Static,False,False,
TMT11,229.16293,K;NPep,,Static,False,True,
R10,10.00827,R,$,Dynamic,False,False,
K8TMT11,237.1771,K,@,Dynamic,False,False,
CAM,57.02146,C,,Static,True,True,
NEM,125.04767,C,,Static,False,False,
Phos,79.96633,S;T;Y,#,Dynamic,False,False,
Acetyl,42.01056,NPep,&,Dynamic,False,False,
ggTMT0,338.19538,K,^,Dynamic,False,False,
ggTMT11,343.20583,K,^,Dynamic,False,False,
ggTMTsh,349.21967,K,^,Dynamic,False,False,
OX,15.99491,M,*,Dynamic,True,True,
